Date,Loss
20150928,-2
20150929,-1
20151003,-1
20151006,-3
20151011,-3
20151017,-8
20151020,-3
20151026,-3
20151031,-16
20151105,-18
20151106,-13
20151108,-13
20151110,-43
20151111,-32
20151114,-2
20151115,-15
20151119,-11
20151120,-4
20151122,-2
20151123,-1
20151124,-4
20151128,-4
20151201,-16
20151202,-2
20151210,-1
20151212,-18
20151216,-9
20151219,-2
20151220,-19
20151221,-4
20151222,-1
20151226,-39
20151230,-5
20160103,-3
20160105,-2
20160108,-4
20160109,-5
20160110,-2
20160112,-3
20160113,-13
20160114,-3
20160115,-57
20160117,-3
20160119,-5
20160121,-5
20160122,-27
20160125,-9
20160126,-3
20160128,-15
20160130,-2
20160131,-8
20160203,-6
20160205,-5
20160206,-9
20160208,-5
20160211,-3
20160215,-5
20160219,-1
20160221,-2
20160223,-18
20160301,-2
20160302,-9
20160303,-5
20160304,-11
20160305,-10
20160308,-3
20160312,-9
20160318,-10
20160321,-1
20160324,-2
20160327,-3
20160328,-7
20160329,-3
20160405,-1
20160406,-1
20160407,-2
20160412,-2
20160416,-4
20160421,-4
20160426,-19
20160429,-6
20160501,-8
20160503,-4
20160506,-2
20160509,-11
20160515,-3
20160516,-2
20160518,-11
20160519,-1
20160521,-4
20160528,-8
20160530,-3
20160606,-8
20160608,-6
20160613,-15
20160616,-17
20160619,-27
20160620,-67
20160621,-76
20160625,-39
20160628,-8
20160702,-36
20160704,-11
20160706,-38
20160708,-11
20160709,-5
20160712,-10
20160713,-4
20160715,-3
20160717,-6
20160719,-7
20160721,-14
20160724,-5
20160727,-1
20160730,-33
20160731,-15
20160801,-94
20160804,-1
20160807,-2
20160808,-4
20160810,-3
20160811,-1
20160812,-2
20160813,-16
20160814,-2
20160816,-8
20160820,-2
20160822,-3
20160823,-4
20160824,-2
20160826,-9
20160828,-1
20160830,-3
20160831,-2
20160904,-4
20160908,-3
20160910,-19
20160914,-2
20160916,-1
20160918,-1
20160919,-1
20160920,-12
20160921,-1
20160924,-2
20160926,-2
20161001,-2
20161003,-3
20161005,-1
20161008,-2
20161011,-4
20161014,-1
20161016,-3
20161017,-2
20161018,-6
20161019,-1
20161022,-2
20161023,-3
20161029,-18
20161103,-49
20161107,-5
20161110,-6
20161112,-11
20161113,-2
20161117,-2
20161120,-19
20161123,-8
20161124,-6
20161126,-6
20161127,-5
20161203,-7
20161205,-12
20161211,-6
20161214,-2
20161215,-2
20161224,-26
20161229,-1
20161230,-12
20170105,-146
20170106,-103
20170109,-1
20170111,-119
20170114,-5
20170118,-28
20170120,-2
20170122,-1
20170124,-27
20170129,-4
20170205,-16
20170209,-76
20170212,-11
20170213,-2
20170219,-3
20170225,-27
20170304,-19
20170307,-44
20170308,-86
20170310,-79
20170316,-80
20170317,-101
20170318,-101
20170322,-76
20170323,-10
20170324,-95
20170327,-1
20170328,-2
20170329,-4
20170403,-6
20170404,-12
20170407,-9
20170411,-8
20170412,-37
20170421,-9
20170423,-1
20170427,-3
20170504,-9
20170511,-133
20170514,-64
20170524,-138
20170525,-62
20170526,-193
20170529,-85
20170603,-21
20170606,-179
20170611,-316
20170613,-246
20170614,-25
20170617,-115
20170620,-76
20170622,-13
20170623,-120
20170624,-48
20170625,-96
20170627,-6
20170628,-20
20170629,-77
20170630,-56
20170705,-14
20170706,-100
20170708,-54
20170709,-167
20170710,-20
20170712,-41
20170713,-128
20170714,-259
20170715,-61
20170718,-37
20170720,-191
20170722,-80
20170724,-180
20170725,-24
20170728,-73
20170731,-136
20170801,-26
20170805,-31
20170808,-80
20170814,-166
20170816,-108
20170817,-174
20170819,-83
20170820,-62
20170825,-12
20170826,-6
20170829,-14
20170901,-348
20170903,-346
20170907,-310
20170909,-89
20170910,-28
20170911,-59
20170912,-289
20170913,-627
20170915,-15
20170916,-9
20170918,-192
20170919,-26
20170920,-265
20170921,-16
20170923,-120
20170925,-40
20170927,-16
20170928,-23
20171001,-2
20171002,-87
20171003,-95
20171009,-14
20171014,-137
20171016,-160
20171017,-23
20171021,-24
20171022,-79
20171023,-391
20171026,-123
20171027,-38
20171030,-24
20171106,-431
20171109,-314
20171110,-564
20171111,-226
20171112,-462
20171117,-154
20171121,-146
20171123,-222
20171129,-68
20171208,-820
20171209,-1205
20171213,-797
20171217,-281
20171218,-94
20171219,-1447
20171220,-1060
20171221,-829
20171222,-1967
20171224,-607
20171227,-340
20171228,-1017
20171229,-5
20171230,-1860
20180101,-405
20180107,-947
20180108,-1252
20180109,-507
20180111,-1612
20180114,-605
20180115,-7
20180116,-2353
20180117,-119
20180121,-1234
20180122,-735
20180125,-252
20180126,-72
20180129,-534
20180130,-1127
20180201,-1112
20180202,-244
20180204,-1033
20180205,-1281
20180207,-108
20180210,-128
20180211,-484
20180213,-366
20180218,-680
20180221,-775
20180222,-634
20180224,-470
20180225,-96
20180228,-261
20180305,-63
20180306,-705
20180307,-806
20180308,-612
20180309,-64
20180310,-456
20180312,-402
20180314,-942
20180317,-400
20180321,-10
20180322,-186
20180324,-388
